text,username,followers,label,confidence,explanations
Click here to claim your winner now!,user0445,141,Fake,0.88,"winner, click, claim"
Click here to claim your free now!,user0446,7202,Fake,0.98,"free, click, claim"
Click here to claim your cash now!,user0447,5095,Fake,0.88,"cash, click, claim"
Join us for the live event tomorrow.,user0448,8467,Real,0.89,
Click here to claim your free now!,user0449,9401,Fake,0.87,"free, click, claim"
Click here to claim your reward now!,user0450,3203,Fake,0.86,"reward, click, claim"
Excited to announce our new product.,user0451,5946,Real,0.91,
Click here to claim your click now!,user0452,2309,Fake,0.89,"click, claim"
Click here to claim your winner now!,user0453,5537,Fake,0.96,"winner, click, claim"
Join us for the live event tomorrow.,user0454,477,Real,0.96,
Thanks for all the support!,user0455,8938,Real,0.91,
Join us for the live event tomorrow.,user0456,5151,Real,0.87,
Click here to claim your congratulations now!,user0457,3463,Fake,0.96,"click, claim, congratulations"
Click here to claim your claim now!,user0458,4971,Fake,0.87,"click, claim"
Click here to claim your claim now!,user0459,9687,Fake,0.95,"click, claim"
We just hit a milestone!,user0460,6829,Real,0.91,
Grateful for 10K followers!,user0461,67,Real,0.9,
Click here to claim your cash now!,user0462,7190,Fake,0.98,"cash, click, claim"
Click here to claim your iPhone now!,user0463,5225,Fake,0.92,"click, claim"
Excited to announce our new product.,user0464,3919,Real,0.93,
Click here to claim your prize now!,user0465,8178,Fake,0.89,"prize, click, claim"
Thanks for all the support!,user0466,6029,Real,0.93,
Thanks for all the support!,user0467,8052,Real,0.95,
Excited to announce our new product.,user0468,320,Real,0.87,
Thanks for all the support!,user0469,5528,Real,0.89,
Grateful for 10K followers!,user0470,6453,Real,0.92,
Click here to claim your cash now!,user0471,2627,Fake,0.89,"cash, click, claim"
Excited to announce our new product.,user0472,9507,Real,0.87,
Click here to claim your free now!,user0473,3180,Fake,0.95,"free, click, claim"
Excited to announce our new product.,user0474,9032,Real,0.97,
Click here to claim your congratulations now!,user0475,6449,Fake,0.97,"click, claim, congratulations"
Click here to claim your cash now!,user0476,2305,Fake,0.89,"cash, click, claim"
Click here to claim your winner now!,user0477,4266,Fake,0.99,"winner, click, claim"
Click here to claim your cash now!,user0478,9386,Fake,0.9,"cash, click, claim"
Grateful for 10K followers!,user0479,8855,Real,0.96,
Click here to claim your winner now!,user0480,9052,Fake,0.88,"winner, click, claim"
Click here to claim your winner now!,user0481,5728,Fake,0.91,"winner, click, claim"
Click here to claim your prize now!,user0482,9383,Fake,0.98,"prize, click, claim"
Click here to claim your reward now!,user0483,1557,Fake,0.96,"reward, click, claim"
Thanks for all the support!,user0484,9326,Real,0.9,
We just hit a milestone!,user0485,7926,Real,0.93,
Thanks for all the support!,user0486,8886,Real,0.91,
Click here to claim your claim now!,user0487,6474,Fake,0.88,"click, claim"
Grateful for 10K followers!,user0488,1382,Real,0.94,
Click here to claim your claim now!,user0489,7875,Fake,0.98,"click, claim"
Click here to claim your free now!,user0490,9336,Fake,0.98,"free, click, claim"
Click here to claim your free now!,user0491,2182,Fake,0.94,"free, click, claim"
Click here to claim your reward now!,user0492,3868,Fake,0.93,"reward, click, claim"
We just hit a milestone!,user0493,6623,Real,0.9,
Click here to claim your congratulations now!,user0494,4745,Fake,0.97,"click, claim, congratulations"
Click here to claim your selected now!,user0495,7750,Fake,0.87,"selected, click, claim"
Click here to claim your iPhone now!,user0496,2138,Fake,0.97,"click, claim"
Thanks for all the support!,user0497,8669,Real,0.95,
Join us for the live event tomorrow.,user0498,9461,Real,0.92,
Grateful for 10K followers!,user0499,6586,Real,0.87,
Thanks for all the support!,user0500,3506,Real,0.93,
Thanks for all the support!,user0501,8754,Real,0.94,
Grateful for 10K followers!,user0502,8798,Real,0.89,
Excited to announce our new product.,user0503,2726,Real,0.93,
Excited to announce our new product.,user0504,7729,Real,0.97,
Grateful for 10K followers!,user0505,8441,Real,0.99,
Click here to claim your reward now!,user0506,4855,Fake,0.91,"reward, click, claim"
Grateful for 10K followers!,user0507,4133,Real,0.99,
Grateful for 10K followers!,user0508,6139,Real,0.94,
Grateful for 10K followers!,user0509,4023,Real,0.96,
Click here to claim your prize now!,user0510,9893,Fake,0.98,"prize, click, claim"
Click here to claim your reward now!,user0511,5363,Fake,0.98,"reward, click, claim"
Thanks for all the support!,user0512,3480,Real,0.98,
Join us for the live event tomorrow.,user0513,6472,Real,0.99,
Grateful for 10K followers!,user0514,8760,Real,0.95,
Click here to claim your claim now!,user0515,4363,Fake,0.89,"click, claim"
Thanks for all the support!,user0516,4485,Real,0.91,
We just hit a milestone!,user0517,5442,Real,0.93,
Click here to claim your prize now!,user0518,4361,Fake,0.89,"prize, click, claim"
Click here to claim your congratulations now!,user0519,945,Fake,0.94,"click, claim, congratulations"
Click here to claim your click now!,user0520,7811,Fake,0.91,"click, claim"
Join us for the live event tomorrow.,user0521,4397,Real,0.92,
Click here to claim your click now!,user0522,2976,Fake,0.87,"click, claim"
Thanks for all the support!,user0523,5790,Real,0.94,
Grateful for 10K followers!,user0524,5269,Real,0.91,
Click here to claim your congratulations now!,user0525,8944,Fake,0.95,"click, claim, congratulations"
Excited to announce our new product.,user0526,2315,Real,0.85,
Click here to claim your click now!,user0527,1928,Fake,0.92,"click, claim"
Click here to claim your claim now!,user0528,6993,Fake,0.92,"click, claim"
Join us for the live event tomorrow.,user0529,318,Real,0.98,
Join us for the live event tomorrow.,user0530,6067,Real,0.95,
Excited to announce our new product.,user0531,2874,Real,0.93,
Click here to claim your congratulations now!,user0532,1040,Fake,0.92,"click, claim, congratulations"
Click here to claim your congratulations now!,user0533,5690,Fake,0.94,"click, claim, congratulations"
Click here to claim your free now!,user0534,6496,Fake,0.95,"free, click, claim"
Excited to announce our new product.,user0535,9600,Real,0.93,
Click here to claim your claim now!,user0536,8895,Fake,0.94,"click, claim"
Click here to claim your cash now!,user0537,5802,Fake,0.97,"cash, click, claim"
Click here to claim your free now!,user0538,9935,Fake,0.93,"free, click, claim"
Click here to claim your cash now!,user0539,3407,Fake,0.96,"cash, click, claim"
Excited to announce our new product.,user0540,1269,Real,0.93,
Excited to announce our new product.,user0541,7896,Real,0.89,
Grateful for 10K followers!,user0542,7525,Real,0.87,
Click here to claim your free now!,user0543,4589,Fake,0.87,"free, click, claim"
Thanks for all the support!,user0544,2132,Real,0.9,
Thanks for all the support!,user0545,7315,Real,0.99,
We just hit a milestone!,user0546,1824,Real,0.93,
Grateful for 10K followers!,user0547,2516,Real,0.96,
Thanks for all the support!,user0548,3400,Real,0.91,
Click here to claim your free now!,user0549,1810,Fake,0.94,"free, click, claim"
Click here to claim your prize now!,user0550,1809,Fake,0.91,"prize, click, claim"
Click here to claim your claim now!,user0551,7654,Fake,0.99,"click, claim"
Click here to claim your cash now!,user0552,5343,Fake,0.95,"cash, click, claim"
Thanks for all the support!,user0553,1537,Real,0.96,
Click here to claim your click now!,user0554,4815,Fake,0.98,"click, claim"
Grateful for 10K followers!,user0555,7572,Real,0.87,
Join us for the live event tomorrow.,user0556,3250,Real,0.92,
Click here to claim your click now!,user0557,2822,Fake,0.85,"click, claim"
Click here to claim your selected now!,user0558,9331,Fake,0.96,"selected, click, claim"
We just hit a milestone!,user0559,6325,Real,0.9,
Click here to claim your free now!,user0560,6889,Fake,0.91,"free, click, claim"
We just hit a milestone!,user0561,9289,Real,0.88,
Thanks for all the support!,user0562,1353,Real,0.89,
Excited to announce our new product.,user0563,5829,Real,0.89,
Excited to announce our new product.,user0564,9636,Real,0.93,
We just hit a milestone!,user0565,7950,Real,0.94,
Click here to claim your cash now!,user0566,7714,Fake,0.99,"cash, click, claim"
Grateful for 10K followers!,user0567,2466,Real,0.98,
Click here to claim your prize now!,user0568,30,Fake,0.97,"prize, click, claim"
Click here to claim your congratulations now!,user0569,2968,Fake,0.99,"click, claim, congratulations"
Click here to claim your iPhone now!,user0570,131,Fake,0.91,"click, claim"
We just hit a milestone!,user0571,5874,Real,0.91,
Click here to claim your winner now!,user0572,5335,Fake,0.98,"winner, click, claim"
Click here to claim your cash now!,user0573,7595,Fake,0.93,"cash, click, claim"
Click here to claim your click now!,user0574,6196,Fake,0.96,"click, claim"
Thanks for all the support!,user0575,6325,Real,0.99,
Click here to claim your click now!,user0576,2275,Fake,0.85,"click, claim"
Thanks for all the support!,user0577,1055,Real,0.94,
Click here to claim your free now!,user0578,2912,Fake,0.92,"free, click, claim"
Click here to claim your prize now!,user0579,1709,Fake,0.99,"prize, click, claim"
Excited to announce our new product.,user0580,8827,Real,0.88,
Thanks for all the support!,user0581,9211,Real,0.91,
Click here to claim your click now!,user0582,6096,Fake,0.88,"click, claim"
Click here to claim your iPhone now!,user0583,9672,Fake,0.89,"click, claim"
Click here to claim your prize now!,user0584,9352,Fake,0.89,"prize, click, claim"
Click here to claim your prize now!,user0585,9547,Fake,0.92,"prize, click, claim"
Thanks for all the support!,user0586,168,Real,0.86,
Click here to claim your cash now!,user0587,3677,Fake,0.89,"cash, click, claim"
Click here to claim your prize now!,user0588,7105,Fake,0.89,"prize, click, claim"
We just hit a milestone!,user0589,7513,Real,0.87,
Click here to claim your iPhone now!,user0590,2489,Fake,0.94,"click, claim"
Click here to claim your iPhone now!,user0591,4706,Fake,0.91,"click, claim"
Excited to announce our new product.,user0592,7937,Real,0.98,
Click here to claim your reward now!,user0593,8564,Fake,0.95,"reward, click, claim"
Join us for the live event tomorrow.,user0594,2034,Real,0.96,
Click here to claim your claim now!,user0595,3347,Fake,0.91,"click, claim"
Click here to claim your selected now!,user0596,545,Fake,0.97,"selected, click, claim"
Click here to claim your iPhone now!,user0597,9572,Fake,0.97,"click, claim"
Excited to announce our new product.,user0598,5848,Real,0.85,
Join us for the live event tomorrow.,user0599,7322,Real,0.94,
Join us for the live event tomorrow.,user0600,4392,Real,0.97,
Click here to claim your free now!,user0601,6377,Fake,0.87,"free, click, claim"
Click here to claim your claim now!,user0602,8422,Fake,0.9,"click, claim"
Grateful for 10K followers!,user0603,2251,Real,0.93,
Grateful for 10K followers!,user0604,9473,Real,0.94,
Join us for the live event tomorrow.,user0605,1486,Real,0.98,
Click here to claim your prize now!,user0606,2555,Fake,0.9,"prize, click, claim"
Click here to claim your claim now!,user0607,9192,Fake,0.91,"click, claim"
Join us for the live event tomorrow.,user0608,8144,Real,0.93,
Click here to claim your cash now!,user0609,2341,Fake,0.98,"cash, click, claim"
Join us for the live event tomorrow.,user0610,200,Real,0.88,
Grateful for 10K followers!,user0611,558,Real,0.88,
Click here to claim your prize now!,user0612,246,Fake,0.88,"prize, click, claim"
Excited to announce our new product.,user0613,94,Real,0.94,
Click here to claim your prize now!,user0614,5665,Fake,0.85,"prize, click, claim"
Click here to claim your prize now!,user0615,447,Fake,0.87,"prize, click, claim"
Click here to claim your iPhone now!,user0616,7275,Fake,0.98,"click, claim"
Click here to claim your click now!,user0617,6446,Fake,0.88,"click, claim"
Grateful for 10K followers!,user0618,6070,Real,0.97,
Click here to claim your free now!,user0619,9411,Fake,0.93,"free, click, claim"
Click here to claim your cash now!,user0620,1769,Fake,0.9,"cash, click, claim"
Click here to claim your click now!,user0621,2712,Fake,0.89,"click, claim"
Click here to claim your congratulations now!,user0622,1320,Fake,0.97,"click, claim, congratulations"
Excited to announce our new product.,user0623,9208,Real,0.88,
Thanks for all the support!,user0624,5078,Real,0.86,
Click here to claim your reward now!,user0625,7038,Fake,0.86,"reward, click, claim"
Click here to claim your prize now!,user0626,6553,Fake,0.95,"prize, click, claim"
Thanks for all the support!,user0627,8576,Real,0.88,
Join us for the live event tomorrow.,user0628,2699,Real,0.96,
Click here to claim your congratulations now!,user0629,7568,Fake,0.89,"click, claim, congratulations"
Click here to claim your iPhone now!,user0630,2784,Fake,0.94,"click, claim"
Excited to announce our new product.,user0631,9315,Real,0.96,
We just hit a milestone!,user0632,5501,Real,0.89,
Click here to claim your cash now!,user0633,7442,Fake,0.97,"cash, click, claim"
Click here to claim your free now!,user0634,8315,Fake,0.9,"free, click, claim"
We just hit a milestone!,user0635,3015,Real,0.9,
Join us for the live event tomorrow.,user0636,3821,Real,0.97,
Excited to announce our new product.,user0637,6398,Real,0.95,
Click here to claim your prize now!,user0638,6941,Fake,0.92,"prize, click, claim"
Click here to claim your cash now!,user0639,8060,Fake,0.87,"cash, click, claim"
Join us for the live event tomorrow.,user0640,4557,Real,0.99,
Click here to claim your free now!,user0641,5540,Fake,0.95,"free, click, claim"
Thanks for all the support!,user0642,8426,Real,0.9,
Excited to announce our new product.,user0643,8982,Real,0.92,
Thanks for all the support!,user0644,8030,Real,0.88,
Excited to announce our new product.,user0645,5973,Real,0.86,
Click here to claim your cash now!,user0646,6190,Fake,0.87,"cash, click, claim"
Click here to claim your prize now!,user0647,4613,Fake,0.98,"prize, click, claim"
Click here to claim your claim now!,user0648,1839,Fake,0.96,"click, claim"
Click here to claim your click now!,user0649,3929,Fake,0.95,"click, claim"
Thanks for all the support!,user0650,4661,Real,0.97,
Join us for the live event tomorrow.,user0651,7848,Real,0.92,
Join us for the live event tomorrow.,user0652,6151,Real,0.89,
Click here to claim your selected now!,user0653,3010,Fake,0.92,"selected, click, claim"
Click here to claim your prize now!,user0654,4319,Fake,0.92,"prize, click, claim"
Excited to announce our new product.,user0655,1867,Real,0.85,
Thanks for all the support!,user0656,9519,Real,0.91,
Click here to claim your free now!,user0657,2676,Fake,0.99,"free, click, claim"
Grateful for 10K followers!,user0658,6857,Real,0.91,
Click here to claim your click now!,user0659,8755,Fake,0.93,"click, claim"
Click here to claim your selected now!,user0660,3243,Fake,0.97,"selected, click, claim"
Click here to claim your prize now!,user0661,2588,Fake,0.89,"prize, click, claim"
Grateful for 10K followers!,user0662,9986,Real,0.98,
Click here to claim your claim now!,user0663,2717,Fake,0.9,"click, claim"
Grateful for 10K followers!,user0664,3250,Real,0.96,
Click here to claim your click now!,user0665,4832,Fake,0.97,"click, claim"
Click here to claim your click now!,user0666,7248,Fake,0.96,"click, claim"
Click here to claim your reward now!,user0667,2928,Fake,0.9,"reward, click, claim"
Click here to claim your prize now!,user0668,7538,Fake,0.94,"prize, click, claim"
Click here to claim your winner now!,user0669,7697,Fake,0.96,"winner, click, claim"
Click here to claim your reward now!,user0670,3823,Fake,0.96,"reward, click, claim"
Grateful for 10K followers!,user0671,4227,Real,0.93,
Click here to claim your selected now!,user0672,2314,Fake,0.9,"selected, click, claim"
Click here to claim your click now!,user0673,810,Fake,0.95,"click, claim"
Click here to claim your prize now!,user0674,6458,Fake,0.98,"prize, click, claim"
Join us for the live event tomorrow.,user0675,7935,Real,0.91,
Click here to claim your prize now!,user0676,2019,Fake,0.86,"prize, click, claim"
We just hit a milestone!,user0677,9361,Real,0.88,
Click here to claim your reward now!,user0678,9753,Fake,0.93,"reward, click, claim"
Click here to claim your selected now!,user0679,9046,Fake,0.92,"selected, click, claim"
Thanks for all the support!,user0680,8109,Real,0.94,
Click here to claim your selected now!,user0681,204,Fake,0.85,"selected, click, claim"
Click here to claim your reward now!,user0682,9352,Fake,0.93,"reward, click, claim"
Click here to claim your click now!,user0683,3639,Fake,0.98,"click, claim"
Click here to claim your selected now!,user0684,1005,Fake,0.96,"selected, click, claim"
Click here to claim your congratulations now!,user0685,4061,Fake,0.87,"click, claim, congratulations"
Excited to announce our new product.,user0686,8992,Real,0.99,
Click here to claim your reward now!,user0687,4876,Fake,0.92,"reward, click, claim"
Click here to claim your prize now!,user0688,3637,Fake,0.96,"prize, click, claim"
Click here to claim your free now!,user0689,9639,Fake,0.93,"free, click, claim"
Grateful for 10K followers!,user0690,6138,Real,0.94,
Grateful for 10K followers!,user0691,8458,Real,0.88,
Click here to claim your congratulations now!,user0692,1888,Fake,0.88,"click, claim, congratulations"
We just hit a milestone!,user0693,4481,Real,0.89,
Click here to claim your click now!,user0694,3710,Fake,0.99,"click, claim"
Click here to claim your prize now!,user0695,1720,Fake,0.91,"prize, click, claim"
Join us for the live event tomorrow.,user0696,2984,Real,0.98,
Click here to claim your click now!,user0697,9253,Fake,0.9,"click, claim"
We just hit a milestone!,user0698,7713,Real,0.95,
Join us for the live event tomorrow.,user0699,4995,Real,0.93,
Excited to announce our new product.,user0700,2425,Real,0.94,
Grateful for 10K followers!,user0701,2254,Real,0.87,
Join us for the live event tomorrow.,user0702,3639,Real,0.92,
We just hit a milestone!,user0703,8551,Real,0.93,
Click here to claim your iPhone now!,user0704,8571,Fake,0.98,"click, claim"
We just hit a milestone!,user0705,7313,Real,0.93,
Click here to claim your congratulations now!,user0706,7375,Fake,0.94,"click, claim, congratulations"
Click here to claim your cash now!,user0707,4181,Fake,0.89,"cash, click, claim"
Click here to claim your click now!,user0708,837,Fake,0.93,"click, claim"
Click here to claim your click now!,user0709,3574,Fake,0.98,"click, claim"
We just hit a milestone!,user0710,7057,Real,0.88,
We just hit a milestone!,user0711,1206,Real,0.96,
Click here to claim your cash now!,user0712,3887,Fake,0.92,"cash, click, claim"
Click here to claim your congratulations now!,user0713,6802,Fake,0.95,"click, claim, congratulations"
We just hit a milestone!,user0714,2914,Real,0.88,
Click here to claim your selected now!,user0715,8166,Fake,0.85,"selected, click, claim"
Click here to claim your congratulations now!,user0716,6829,Fake,0.87,"click, claim, congratulations"
Excited to announce our new product.,user0717,4542,Real,0.86,
Thanks for all the support!,user0718,6082,Real,0.96,
We just hit a milestone!,user0719,2307,Real,0.89,
Click here to claim your free now!,user0720,6305,Fake,0.89,"free, click, claim"
Thanks for all the support!,user0721,3357,Real,0.86,
Excited to announce our new product.,user0722,6201,Real,0.97,
Click here to claim your reward now!,user0723,9523,Fake,0.98,"reward, click, claim"
Click here to claim your winner now!,user0724,768,Fake,0.9,"winner, click, claim"
Grateful for 10K followers!,user0725,8310,Real,0.98,
Click here to claim your free now!,user0726,4493,Fake,0.91,"free, click, claim"
Click here to claim your click now!,user0727,4032,Fake,0.87,"click, claim"
Click here to claim your prize now!,user0728,4503,Fake,0.92,"prize, click, claim"
Click here to claim your congratulations now!,user0729,2791,Fake,0.97,"click, claim, congratulations"
Click here to claim your congratulations now!,user0730,7421,Fake,0.91,"click, claim, congratulations"
Grateful for 10K followers!,user0731,4265,Real,0.9,
Thanks for all the support!,user0732,2270,Real,0.98,
Click here to claim your congratulations now!,user0733,3758,Fake,0.96,"click, claim, congratulations"
Excited to announce our new product.,user0734,2423,Real,0.93,
Click here to claim your claim now!,user0735,6596,Fake,0.85,"click, claim"
Join us for the live event tomorrow.,user0736,6512,Real,0.9,
Click here to claim your iPhone now!,user0737,2916,Fake,0.85,"click, claim"
Excited to announce our new product.,user0738,8825,Real,0.9,
We just hit a milestone!,user0739,8421,Real,0.92,
Thanks for all the support!,user0740,2058,Real,0.93,
Click here to claim your congratulations now!,user0741,8166,Fake,0.95,"click, claim, congratulations"
Join us for the live event tomorrow.,user0742,7712,Real,0.9,
We just hit a milestone!,user0743,775,Real,0.94,
We just hit a milestone!,user0744,4133,Real,0.95,
Click here to claim your claim now!,user0745,8660,Fake,0.99,"click, claim"
Excited to announce our new product.,user0746,4926,Real,0.93,
Click here to claim your congratulations now!,user0747,9732,Fake,0.97,"click, claim, congratulations"
We just hit a milestone!,user0748,2821,Real,0.9,
Click here to claim your congratulations now!,user0749,5416,Fake,0.95,"click, claim, congratulations"
Click here to claim your iPhone now!,user0750,7469,Fake,0.97,"click, claim"
Excited to announce our new product.,user0751,3910,Real,0.9,
Click here to claim your winner now!,user0752,243,Fake,0.9,"winner, click, claim"
We just hit a milestone!,user0753,1405,Real,0.96,
Click here to claim your iPhone now!,user0754,7350,Fake,0.97,"click, claim"
Click here to claim your selected now!,user0755,1466,Fake,0.86,"selected, click, claim"
Click here to claim your cash now!,user0756,5294,Fake,0.86,"cash, click, claim"
Click here to claim your congratulations now!,user0757,1956,Fake,0.9,"click, claim, congratulations"
Join us for the live event tomorrow.,user0758,6521,Real,0.91,
Thanks for all the support!,user0759,320,Real,0.93,
Grateful for 10K followers!,user0760,1311,Real,0.97,
Excited to announce our new product.,user0761,2000,Real,0.96,
Click here to claim your click now!,user0762,8569,Fake,0.95,"click, claim"
Excited to announce our new product.,user0763,8957,Real,0.9,
Click here to claim your cash now!,user0764,5147,Fake,0.92,"cash, click, claim"
We just hit a milestone!,user0765,5383,Real,0.98,
We just hit a milestone!,user0766,8106,Real,0.98,
Click here to claim your selected now!,user0767,4355,Fake,0.9,"selected, click, claim"
Click here to claim your cash now!,user0768,4576,Fake,0.95,"cash, click, claim"
Click here to claim your claim now!,user0769,1073,Fake,0.86,"click, claim"
We just hit a milestone!,user0770,4634,Real,0.92,
Grateful for 10K followers!,user0771,5570,Real,0.87,
We just hit a milestone!,user0772,6385,Real,0.98,
Grateful for 10K followers!,user0773,3317,Real,0.87,
Click here to claim your iPhone now!,user0774,2906,Fake,0.95,"click, claim"
Click here to claim your reward now!,user0775,5122,Fake,0.9,"reward, click, claim"
Excited to announce our new product.,user0776,4126,Real,0.98,
Excited to announce our new product.,user0777,8930,Real,0.92,
Click here to claim your selected now!,user0778,3534,Fake,0.98,"selected, click, claim"
Click here to claim your congratulations now!,user0779,6139,Fake,0.89,"click, claim, congratulations"
Grateful for 10K followers!,user0780,947,Real,0.92,
Excited to announce our new product.,user0781,3787,Real,0.88,
Click here to claim your free now!,user0782,1079,Fake,0.99,"free, click, claim"
Grateful for 10K followers!,user0783,3385,Real,0.91,
We just hit a milestone!,user0784,642,Real,0.91,
Click here to claim your prize now!,user0785,760,Fake,0.86,"prize, click, claim"
Click here to claim your congratulations now!,user0786,4990,Fake,0.85,"click, claim, congratulations"
Join us for the live event tomorrow.,user0787,1211,Real,0.91,
Join us for the live event tomorrow.,user0788,9819,Real,0.86,
Excited to announce our new product.,user0789,6435,Real,0.91,
Click here to claim your selected now!,user0790,9208,Fake,0.87,"selected, click, claim"
Grateful for 10K followers!,user0791,7988,Real,0.97,
Excited to announce our new product.,user0792,9182,Real,0.88,
Thanks for all the support!,user0793,3197,Real,0.9,
Grateful for 10K followers!,user0794,8268,Real,0.94,
Thanks for all the support!,user0795,8607,Real,0.92,
Grateful for 10K followers!,user0796,3339,Real,0.9,
Click here to claim your free now!,user0797,8898,Fake,0.94,"free, click, claim"
Join us for the live event tomorrow.,user0798,441,Real,0.88,
Click here to claim your prize now!,user0799,7828,Fake,0.94,"prize, click, claim"
Click here to claim your winner now!,user0800,1075,Fake,0.9,"winner, click, claim"
Click here to claim your claim now!,user0801,198,Fake,0.94,"click, claim"
Click here to claim your iPhone now!,user0802,2421,Fake,0.89,"click, claim"
We just hit a milestone!,user0803,8094,Real,0.92,
Thanks for all the support!,user0804,1673,Real,0.99,
Grateful for 10K followers!,user0805,6638,Real,0.87,
Thanks for all the support!,user0806,7011,Real,0.93,
Click here to claim your reward now!,user0807,27,Fake,0.96,"reward, click, claim"
Click here to claim your claim now!,user0808,7518,Fake,0.93,"click, claim"
Grateful for 10K followers!,user0809,1342,Real,0.99,
Click here to claim your click now!,user0810,7208,Fake,0.94,"click, claim"
Click here to claim your selected now!,user0811,6254,Fake,0.96,"selected, click, claim"
Click here to claim your selected now!,user0812,4101,Fake,0.92,"selected, click, claim"
Click here to claim your cash now!,user0813,8912,Fake,0.98,"cash, click, claim"
Grateful for 10K followers!,user0814,5013,Real,0.93,
Excited to announce our new product.,user0815,4829,Real,0.95,
Click here to claim your congratulations now!,user0816,3126,Fake,0.94,"click, claim, congratulations"
Click here to claim your reward now!,user0817,1938,Fake,0.91,"reward, click, claim"
Click here to claim your selected now!,user0818,9842,Fake,0.88,"selected, click, claim"
Click here to claim your claim now!,user0819,9337,Fake,0.9,"click, claim"
Click here to claim your iPhone now!,user0820,7338,Fake,0.89,"click, claim"
Grateful for 10K followers!,user0821,6028,Real,0.96,
Click here to claim your click now!,user0822,5522,Fake,0.89,"click, claim"
Click here to claim your selected now!,user0823,9127,Fake,0.95,"selected, click, claim"
Join us for the live event tomorrow.,user0824,5282,Real,0.95,
Click here to claim your claim now!,user0825,8477,Fake,0.99,"click, claim"
Click here to claim your cash now!,user0826,121,Fake,0.96,"cash, click, claim"
We just hit a milestone!,user0827,2843,Real,0.96,
Join us for the live event tomorrow.,user0828,3613,Real,0.9,
We just hit a milestone!,user0829,6649,Real,0.93,
Thanks for all the support!,user0830,3158,Real,0.93,
Grateful for 10K followers!,user0831,1685,Real,0.94,
Grateful for 10K followers!,user0832,3041,Real,0.95,
Click here to claim your claim now!,user0833,8646,Fake,0.97,"click, claim"
Thanks for all the support!,user0834,9307,Real,0.97,
Excited to announce our new product.,user0835,9770,Real,0.9,
Click here to claim your claim now!,user0836,1927,Fake,0.92,"click, claim"
Click here to claim your cash now!,user0837,2459,Fake,0.92,"cash, click, claim"
Click here to claim your prize now!,user0838,9172,Fake,0.9,"prize, click, claim"
Grateful for 10K followers!,user0839,8815,Real,0.96,
Click here to claim your reward now!,user0840,6011,Fake,0.97,"reward, click, claim"
Click here to claim your iPhone now!,user0841,5617,Fake,0.9,"click, claim"
Click here to claim your cash now!,user0842,4598,Fake,0.91,"cash, click, claim"
Excited to announce our new product.,user0843,4543,Real,0.89,
Click here to claim your free now!,user0844,1180,Fake,0.85,"free, click, claim"
Click here to claim your cash now!,user0845,8034,Fake,0.92,"cash, click, claim"
Thanks for all the support!,user0846,7009,Real,0.95,
Grateful for 10K followers!,user0847,2845,Real,0.98,
Click here to claim your reward now!,user0848,7399,Fake,0.96,"reward, click, claim"
Grateful for 10K followers!,user0849,549,Real,0.98,
Click here to claim your iPhone now!,user0850,4682,Fake,0.88,"click, claim"
Join us for the live event tomorrow.,user0851,8590,Real,0.87,
Click here to claim your prize now!,user0852,2584,Fake,0.9,"prize, click, claim"
Click here to claim your prize now!,user0853,3785,Fake,0.91,"prize, click, claim"
Click here to claim your prize now!,user0854,1845,Fake,0.92,"prize, click, claim"
Thanks for all the support!,user0855,4391,Real,0.93,
Click here to claim your prize now!,user0856,7346,Fake,0.87,"prize, click, claim"
We just hit a milestone!,user0857,1293,Real,0.87,
Click here to claim your claim now!,user0858,9818,Fake,0.92,"click, claim"
Join us for the live event tomorrow.,user0859,1101,Real,0.95,
Click here to claim your click now!,user0860,6538,Fake,0.9,"click, claim"
Click here to claim your selected now!,user0861,3179,Fake,0.88,"selected, click, claim"
Click here to claim your claim now!,user0862,8200,Fake,0.94,"click, claim"
Join us for the live event tomorrow.,user0863,6896,Real,0.95,
Click here to claim your winner now!,user0864,9510,Fake,0.97,"winner, click, claim"
Click here to claim your winner now!,user0865,8500,Fake,0.98,"winner, click, claim"
Excited to announce our new product.,user0866,3951,Real,0.86,
Click here to claim your winner now!,user0867,878,Fake,0.93,"winner, click, claim"
Click here to claim your cash now!,user0868,6083,Fake,0.94,"cash, click, claim"
Thanks for all the support!,user0869,3660,Real,0.91,
Excited to announce our new product.,user0870,571,Real,0.89,
Thanks for all the support!,user0871,6530,Real,0.95,
We just hit a milestone!,user0872,7807,Real,0.91,
Thanks for all the support!,user0873,2781,Real,0.9,
Join us for the live event tomorrow.,user0874,6229,Real,0.88,
Join us for the live event tomorrow.,user0875,5315,Real,0.88,
Excited to announce our new product.,user0876,4247,Real,0.86,
Join us for the live event tomorrow.,user0877,4251,Real,0.9,
Click here to claim your iPhone now!,user0878,3340,Fake,0.97,"click, claim"
Click here to claim your congratulations now!,user0879,3117,Fake,0.92,"click, claim, congratulations"
We just hit a milestone!,user0880,1314,Real,0.94,
Click here to claim your reward now!,user0881,1707,Fake,0.93,"reward, click, claim"
Excited to announce our new product.,user0882,2763,Real,0.95,
Click here to claim your congratulations now!,user0883,5563,Fake,0.92,"click, claim, congratulations"
Grateful for 10K followers!,user0884,1137,Real,0.86,
Excited to announce our new product.,user0885,4036,Real,0.89,
Click here to claim your congratulations now!,user0886,5107,Fake,0.86,"click, claim, congratulations"
Click here to claim your reward now!,user0887,592,Fake,0.86,"reward, click, claim"
